X.SXVP1.,X.SXVP1..1,X0,startloc,endloc
SXVP1,SXVP1,0,1,1
SXVP1,KRIP1,94.05205987,1,2
SXVP1,BLRP2,125.6224314,1,3
SXVP1,MULP1,173.056724,1,4
SXVP1,BLRP1,180.7175243,1,5
SXVP1,BAGP1,231.7069717,1,6
SXVP1,MAAP1,270.9805777,1,7
SXVP1,GDRP1,332.583665,1,8
SXVP1,CTAP1,339.2183154,1,9
SXVP1,GTYP1,374.8371001,1,10
SXVP1,KRNP1,469.6715957,1,11
SXVP1,HBXP1,515.2768248,1,12
SXVP1,PGRP1,564.6665608,1,13
SXVP1,VGAP1,595.6918349,1,14
SXVP1,BGMP1,596.5601005,1,15
SXVP1,HYDP1,611.9784179,1,16
SXVP1,HYDP2,650.812368,1,17
SXVP1,NPWP1,672.3755687,1,18
SXVP1,TPNP1,686.2229516,1,19
SXVP1,SATP1,682.489027,1,20
SXVP1,SSEP1,712.2979411,1,21
SXVP1,STRP1,799.0474327,1,22
SXVP1,NDCP1,830.646711,1,23
SXVP1,VTZP1,843.6971417,1,24
SXVP1,ADBP1,876.9608347,1,25
SXVP1,PNQP1,903.114386,1,26
SXVP1,AWBP1,948.018572,1,27
SXVP1,MLGP1,956.3186916,1,28
SXVP1,BOMP1,994.0926698,1,29
SXVP1,NAGP1,1050.702025,1,30
SXVP1,DHIP1,1076.641818,1,31
SXVP1,VAPP1,1107.498167,1,32
SXVP1,BAMP1,1107.862106,1,33
SXVP1,RPRP1,1122.716261,1,34
SXVP1,STVP1,1183.941101,1,35
SXVP1,IDRP1,1240.275174,1,36
SXVP1,NURP1,1253.373341,1,37
SXVP1,SBPP1,1245.328228,1,38
SXVP1,BDQP1,1286.042488,1,39
SXVP1,AMDP1,1372.434385,1,40
SXVP1,KDJP1,1380.771484,1,41
SXVP1,BHCP1,1383.442077,1,42
SXVP1,KHRP1,1447.898273,1,43
SXVP1,CORP1,1507.825577,1,44
SXVP1,JHSP1,1531.811724,1,45
SXVP1,IXWP1,1513.898825,1,46
SXVP1,BHLP1,1561.033722,1,47
SXVP1,VNSP1,1597.915367,1,48
SXVP1,AUBP1,1596.880458,1,49
SXVP1,KNUP1,1639.028447,1,50
SXVP1,DBDP1,1615.816388,1,51
SXVP1,CCUP1,1622.688709,1,52
SXVP1,SYNP1,1702.528339,1,53
SXVP1,JAIP1,1706.64408,1,54
SXVP1,AGRP1,1726.957732,1,55
SXVP1,AGRP2,1736.936114,1,56
SXVP1,GKPP1,1757.586992,1,57
SXVP1,BPCP1,1742.741521,1,58
SXVP1,MZUP1,1784.602649,1,59
SXVP1,DELP1,1848.788008,1,60
SXVP1,DELP3,1905.464604,1,61
SXVP1,PGHP1,1918.755229,1,62
SXVP1,NJPP1,1986.503684,1,63
SXVP1,AMBP1,2068.400349,1,64
SXVP1,BKSP1,2034.734839,1,65
SXVP1,GAUP1,2165.891886,1,66
KRIP1,SXVP1,94.05205987,2,1
KRIP1,KRIP1,0,2,2
KRIP1,BLRP2,52.02696769,2,3
KRIP1,MULP1,80.61923519,2,4
KRIP1,BLRP1,117.432144,2,5
KRIP1,BAGP1,143.5328216,2,6
KRIP1,MAAP1,217.9513702,2,7
KRIP1,GDRP1,252.4588071,2,8
KRIP1,CTAP1,276.3123927,2,9
KRIP1,GTYP1,285.6099395,2,10
KRIP1,KRNP1,377.17356,2,11
KRIP1,HBXP1,456.7473264,2,12
KRIP1,PGRP1,472.9471629,2,13
KRIP1,VGAP1,507.3472778,2,14
KRIP1,BGMP1,538.0825565,2,15
KRIP1,HYDP1,518.6553628,2,16
KRIP1,HYDP2,557.7065045,2,17
KRIP1,NPWP1,609.7134043,2,18
KRIP1,TPNP1,592.6283583,2,19
KRIP1,SATP1,593.3328957,2,20
KRIP1,SSEP1,631.0475987,2,21
KRIP1,STRP1,730.984276,2,22
KRIP1,NDCP1,739.8282813,2,23
KRIP1,VTZP1,762.922913,2,24
KRIP1,ADBP1,783.4363503,2,25
KRIP1,PNQP1,832.5435297,2,26
KRIP1,AWBP1,864.2672168,2,27
KRIP1,MLGP1,866.1365381,2,28
KRIP1,BOMP1,924.9790254,2,29
KRIP1,NAGP1,956.902189,2,30
KRIP1,DHIP1,994.0856147,2,31
KRIP1,VAPP1,1035.141112,2,32
KRIP1,BAMP1,1028.368684,2,33
KRIP1,RPRP1,1030.15792,2,34
KRIP1,STVP1,1108.642123,2,35
KRIP1,IDRP1,1151.930438,2,36
KRIP1,NURP1,1159.496295,2,37
KRIP1,SBPP1,1157.540792,2,38
KRIP1,BDQP1,1206.996257,2,39
KRIP1,AMDP1,1294.70629,2,40
KRIP1,KDJP1,1297.168816,2,41
KRIP1,BHCP1,1303.692944,2,42
KRIP1,KHRP1,1364.807601,2,43
KRIP1,CORP1,1421.267892,2,44
KRIP1,JHSP1,1438.561909,2,45
KRIP1,IXWP1,1429.433073,2,46
KRIP1,BHLP1,1474.23265,2,47
KRIP1,VNSP1,1505.374475,2,48
KRIP1,AUBP1,1506.176762,2,49
KRIP1,KNUP1,1544.977016,2,50
KRIP1,DBDP1,1529.965601,2,51
KRIP1,CCUP1,1543.276583,2,52
KRIP1,SYNP1,1609.756656,2,53
KRIP1,JAIP1,1616.900481,2,54
KRIP1,AGRP1,1633.988643,2,55
KRIP1,AGRP2,1644.283597,2,56
KRIP1,GKPP1,1664.585302,2,57
KRIP1,BPCP1,1660.310829,2,58
KRIP1,MZUP1,1694.127902,2,59
KRIP1,DELP1,1757.100757,2,60
KRIP1,DELP3,1813.398233,2,61
KRIP1,PGHP1,1825.003949,2,62
KRIP1,NJPP1,1900.212128,2,63
KRIP1,AMBP1,1976.532343,2,64
KRIP1,BKSP1,1951.098837,2,65
KRIP1,GAUP1,2085.576777,2,66
BLRP2,SXVP1,125.6224314,3,1
BLRP2,KRIP1,52.02696769,3,2
BLRP2,BLRP2,0,3,3
BLRP2,MULP1,88.0628709,3,4
BLRP2,BLRP1,65.43250029,3,5
BLRP2,BAGP1,107.6275717,3,6
BLRP2,MAAP1,254.3961352,3,7
BLRP2,GDRP1,267.4645975,3,8
BLRP2,CTAP1,225.1607715,3,9
BLRP2,GTYP1,250.2220457,3,10
BLRP2,KRNP1,348.1505926,3,11
BLRP2,HBXP1,405.3512329,3,12
BLRP2,PGRP1,465.2713751,3,13
BLRP2,VGAP1,506.5681237,3,14
BLRP2,BGMP1,486.7689145,3,15
BLRP2,HYDP1,491.9681484,3,16
BLRP2,HYDP2,530.0583081,3,17
BLRP2,NPWP1,559.1359079,3,18
BLRP2,TPNP1,567.0286936,3,19
BLRP2,SATP1,590.4872448,3,20
BLRP2,SSEP1,587.6114491,3,21
BLRP2,STRP1,681.7781427,3,22
BLRP2,NDCP1,706.3661383,3,23
BLRP2,VTZP1,770.9598886,3,24
BLRP2,ADBP1,757.1282192,3,25
BLRP2,PNQP1,784.1706151,3,26
BLRP2,AWBP1,822.717435,3,27
BLRP2,MLGP1,831.5555229,3,28
BLRP2,BOMP1,876.1935806,3,29
BLRP2,NAGP1,931.9731955,3,30
BLRP2,DHIP1,951.6685716,3,31
BLRP2,VAPP1,987.4850687,3,32
BLRP2,BAMP1,1036.939654,3,33
